year,mean_bpm,weighted_mean_bpm,top10_mean_bpm,mean_valence,weighted_mean_valence,top10_mean_valence,n_songs_with_data,gdp_growth_pct,unemployment_rate,recession,unemployment_lag1,gdp_growth_lag1
1987,111.24055555555555,106.73807534246572,92.64349999999999,0.5290777777777778,0.5115646118721462,0.48735,9,4.474555651430423,6.175,0,7.0,2.9072396676214085
1988,122.137375,124.20532941176471,79.36,0.45048750000000004,0.3571778823529412,0.131,8,3.799338836732069,5.491666666666667,0,6.175,4.474555651430423
1989,119.491,120.23116521739131,,0.6696666666666667,0.8133652173913044,,3,2.743211930028755,5.258333333333334,0,5.491666666666667,3.799338836732069
1990,107.31679999999999,108.44817049180327,,0.45039999999999997,0.46207868852459016,,5,0.6030627340393391,5.616666666666667,1,5.258333333333334,2.743211930028755
1991,129.80816666666666,136.60128461538463,141.647,0.5086666666666666,0.42555897435897433,0.313,6,1.1664011655910578,6.8500000000000005,1,5.616666666666667,0.6030627340393391
1992,128.81485714285716,126.85093681917212,139.075,0.43457142857142855,0.44548148148148153,0.5565,7,4.382645388993267,7.491666666666667,0,6.8500000000000005,1.1664011655910578
1993,119.71775,117.40877370689655,116.6465,0.360125,0.327551724137931,0.356,8,2.6077107599381977,6.908333333333334,0,7.491666666666667,4.382645388993267
1994,114.73525000000001,114.72434753363228,,0.57675,0.5038878923766816,,8,4.116167021429895,6.1000000000000005,0,6.908333333333334,2.6077107599381977
1995,116.779,121.29780930232558,102.473,0.5746249999999999,0.5812930232558139,0.794,8,2.1997916299495213,5.591666666666666,0,6.1000000000000005,4.116167021429895
1996,112.99892307692306,109.94754658385091,113.20299999999999,0.6986153846153845,0.7354534161490682,0.7833333333333333,13,4.421452442981133,5.408333333333334,0,5.591666666666666,2.1997916299495213
1997,119.37961538461538,122.17698087431694,126.22259999999997,0.5391538461538461,0.4900792349726776,0.507,13,4.483552816031211,4.941666666666666,0,5.408333333333334,4.421452442981133
1998,135.88683333333336,138.35511982570807,154.14249999999998,0.41850000000000004,0.42738997821350755,0.45799999999999996,6,4.883126568525764,4.5,0,4.941666666666666,4.483552816031211
1999,103.77600000000001,102.36851987767585,91.57,0.5281818181818182,0.541256880733945,0.3899999999999999,11,4.823574270732967,4.216666666666667,0,4.5,4.883126568525764
2000,122.6673846153846,119.83484087968951,116.625,0.5986153846153845,0.656914618369987,0.7693333333333333,13,2.9055943095086967,3.966666666666667,0,4.216666666666667,4.823574270732967
2001,89.401,91.32509651474531,86.39933333333333,0.5553333333333333,0.6002225201072388,0.521,12,0.1673182937314887,4.741666666666666,1,3.966666666666667,2.9055943095086967
2002,116.2175,118.05607644628098,134.35433333333333,0.548875,0.5328801652892562,0.6940000000000001,8,1.9925248221954737,5.783333333333334,0,4.741666666666666,0.1673182937314887
2003,116.35225,117.57933263378806,119.033,0.5393749999999999,0.5741615949632738,0.66275,16,4.300440651057458,5.991666666666667,0,5.783333333333334,1.9925248221954737
2004,118.08623529411764,118.38233090246126,100.97133333333333,0.5304117647058824,0.5203846855059252,0.5816666666666666,17,3.3511049439547858,5.541666666666667,0,5.991666666666667,4.300440651057458
2005,122.03466666666667,118.42149428208387,114.86433333333332,0.6062666666666666,0.6789491740787803,0.7616666666666666,15,2.9727366937913,5.083333333333333,0,5.541666666666667,3.3511049439547858
2006,111.13733333333334,112.56036781609193,114.309,0.5092666666666666,0.5532694763729247,0.8809999999999999,15,2.63456037634382,4.608333333333333,0,5.083333333333333,2.9727366937913
2007,125.066,120.9281723549488,106.84375,0.47759999999999997,0.5017027303754266,0.4885,8,2.133364682457861,4.616666666666666,0,4.608333333333333,2.63456037634382
2008,113.55754545454543,112.17475838926175,112.95733333333332,0.4678181818181818,0.42173825503355705,0.30533333333333335,11,-2.5411536884212604,5.8,1,4.616666666666666,2.133364682457861
2009,130.98454545454544,132.57914683153012,109.47,0.4809090909090909,0.5070030911901081,0.63,11,0.1055725234829774,9.283333333333331,1,5.8,-2.5411536884212604
2010,114.61949999999999,111.00778013392856,108.62960000000001,0.5359285714285714,0.551265625,0.5378000000000001,14,2.7759609093124693,9.608333333333334,0,9.283333333333331,0.1055725234829774
